Boid,Speed
Boid0,3.677079,0
Boid1,2.031432,0
Boid2,2.653247,0
Boid3,1.439437,0
Boid4,3.47273,0
Boid5,2.108201,0
Boid6,2.755306,0
Boid7,1.585385,0
Boid8,3.345268,0
Boid9,4.418495,0
Boid10,4.716328,0
Boid11,3.30588,0
Boid12,3.250603,0
Boid13,2.370562,0
Boid14,2.6262,0
Boid15,2.653248,0
Boid16,4.844286,0
Boid17,1.971356,0
Boid18,1.041025,0
Boid19,4.324522,0
Boid20,1.282227,0
Boid21,2.686749,0
Boid22,2.363336,0
Boid23,4.529321,0
Boid24,2.865102,0
Boid25,2.403752,0
Boid26,1.184795,0
Boid27,1.436847,0
Boid28,4.01046,0
Boid29,4.220661,0
Boid30,1.590155,0
Boid31,3.436632,0
Boid32,3.343815,0
Boid33,3.739819,0
Boid34,3.193587,0
Boid35,2.13871,0
Boid36,4.980616,0
Boid37,2.851878,0
Boid38,1.977697,0
Boid39,2.483433,0
Boid40,1.119415,0
Boid41,2.018751,0
Boid42,2.682925,0
Boid43,1.470781,0
Boid44,4.679333,0
Boid45,4.224646,0
Boid46,1.582553,0
Boid47,1.407619,0
Boid48,2.750543,0
Boid49,1.970101,0
Boid50,3.679428,0
Boid51,1.620009,0
Boid52,1.82421,0
Boid53,2.659933,0
Boid54,3.310658,0
Boid55,1.153869,0
Boid56,3.801119,0
Boid57,2.74167,0
Boid58,4.617631,0
Boid59,1.522419,0
Boid60,1.290675,0
Boid61,4.393849,0
Boid62,2.225053,0
Boid63,2.513903,0
Boid64,4.605892,0
Boid65,3.422598,0
Boid66,1.455982,0
Boid67,3.262441,0
Boid68,4.070959,0
Boid69,2.635876,0
Boid70,3.645313,0
Boid71,2.263167,0
Boid72,4.27277,0
Boid73,1.775647,0
Boid74,2.038997,0
Boid75,4.650072,0
Boid76,4.158223,0
Boid77,3.471281,0
Boid78,2.197703,0
Boid79,1.190132,0
Boid80,4.960297,0
Boid81,4.81495,0
Boid82,3.74419,0
Boid83,3.733467,0
Boid84,1.469222,0
Boid85,4.431838,0
Boid86,4.781106,0
Boid87,1.168792,0
Boid88,3.331385,0
Boid89,3.855465,0
Boid90,3.428301,0
Boid91,4.220018,0
Boid92,3.115756,0
Boid93,2.075627,0
Boid94,2.003397,0
Boid95,2.537667,0
Boid96,4.370698,0
Boid97,4.173288,0
Boid98,1.574482,0
Boid99,2.087746,0
Boid100,4.189291,0
Boid101,1.6314,0
Boid102,4.329625,0
Boid103,4.093783,0
Boid104,3.077238,0
Boid105,1.922963,0
Boid106,4.681897,0
Boid107,4.157363,0
Boid108,2.331353,0
Boid109,2.486943,0
Boid110,2.731045,0
Boid111,1.522624,0
Boid112,3.743458,0
Boid113,1.784081,0
Boid114,4.757764,0
Boid115,4.186038,0
Boid116,2.107764,0
Boid117,4.962525,0
Boid118,4.910366,0
Boid119,1.692302,0
Boid120,4.860656,0
Boid121,2.180695,0
Boid122,1.176954,0
Boid123,1.484456,0
Boid124,2.636301,0
Boid125,4.828043,0
Boid126,3.310416,0
Boid127,3.442708,0
Boid128,3.941576,0
Boid129,3.197432,0
Boid130,1.20186,0
Boid131,3.519426,0
Boid132,1.279489,0
Boid133,1.582893,0
Boid134,1.525446,0
Boid135,4.340145,0
Boid136,4.613454,0
Boid137,3.006975,0
Boid138,4.524955,0
Boid139,2.265317,0
Boid140,2.201531,0
Boid141,3.905532,0
Boid142,1.759205,0
Boid143,4.269762,0
Boid144,4.387799,0
Boid145,4.59013,0
Boid146,3.554308,0
Boid147,4.091844,0
Boid148,1.496377,0
Boid149,3.44836,0
Boid150,2.106208,0
Boid151,3.730517,0
Boid152,4.503174,0
Boid153,4.46893,0
Boid154,3.767172,0
Boid155,1.924417,0
Boid156,2.427817,0
Boid157,2.718933,0
Boid158,4.388146,0
Boid159,1.275759,0
Boid160,4.459958,0
Boid161,2.747946,0
Boid162,3.942944,0
Boid163,4.383494,0
Boid164,4.065156,0
Boid165,3.903453,0
Boid166,1.020049,0
Boid167,1.724483,0
Boid168,2.060836,0
Boid169,3.25551,0
Boid170,1.510478,0
Boid171,4.06653,0
