Boid,Speed,TimeElapsed
Boid0,5,0
Boid1,5,0
Boid2,5,0
Boid3,5,0
Boid4,5,0
Boid5,5,0
Boid6,5,0
Boid7,5,0
Boid8,5,0
Boid9,5,0
Boid10,5,0
Boid11,5,0
Boid12,5,0
Boid13,5,0
Boid14,5,0
Boid15,5,0
Boid16,5,0
Boid17,5,0
Boid18,5,0
Boid19,5,0
Boid20,5,0
Boid21,5,0
Boid22,5,0
Boid23,5,0
Boid24,5,0
Boid25,5,0
Boid26,5,0
Boid27,5,0
Boid28,5,0
Boid29,5,0
Boid30,5,0
Boid31,5,0
Boid32,5,0
Boid33,5,0
Boid34,5,0
Boid35,5,0
Boid36,5,0
Boid37,5,0
Boid38,5,0
Boid39,5,0
Boid40,5,0
Boid41,5,0
Boid42,5,0
Boid43,5,0
Boid44,5,0
Boid45,5,0
Boid46,5,0
Boid47,5,0
Boid48,5,0
Boid49,5,0
Boid50,5,0
Boid51,5,0
Boid52,5,0
Boid53,5,0
Boid54,5,0
Boid55,5,0
Boid56,5,0
Boid57,5,0
Boid58,5,0
Boid59,5,0
Boid60,5,0
Boid61,5,0
Boid62,5,0
Boid63,5,0
Boid64,5,0
Boid65,5,0
Boid66,5,0
Boid67,5,0
Boid68,5,0
Boid69,5,0
Boid70,5,0
Boid71,5,0
Boid72,5,0
Boid73,5,0
Boid74,5,0
Boid75,5,0
Boid76,5,0
Boid77,5,0
Boid78,5,0
Boid79,5,0
Boid80,5,0
Boid81,5,0
Boid82,5,0
Boid83,5,0
Boid84,5,0
Boid85,5,0
Boid86,5,0
Boid87,5,0
Boid88,5,0
Boid89,5,0
Boid90,5,0
Boid91,5,0
Boid92,5,0
Boid93,5,0
Boid94,5,0
Boid95,5,0
Boid96,5,0
Boid97,5,0
Boid98,5,0
Boid99,5,0
Boid100,5,0
Boid101,5,0
Boid102,5,0
Boid103,5,0
Boid104,5,0
Boid105,5,0
Boid106,5,0
Boid107,5,0
Boid108,5,0
Boid109,5,0
Boid110,5,0
Boid111,5,0
Boid112,5,0
Boid113,5,0
Boid114,5,0
Boid115,5,0
Boid116,5,0
Boid117,5,0
Boid118,5,0
Boid119,5,0
Boid120,5,0
Boid121,5,0
Boid122,5,0
Boid123,5,0
Boid124,5,0
Boid125,5,0
Boid126,5,0
Boid127,5,0
Boid128,5,0
Boid129,5,0
Boid130,5,0
Boid131,5,0
Boid132,5,0
Boid133,5,0
Boid134,5,0
Boid135,5,0
Boid136,5,0
Boid137,5,0
Boid138,5,0
Boid139,5,0
Boid140,5,0
Boid141,5,0
Boid142,5,0
Boid143,5,0
Boid144,5,0
Boid145,5,0
Boid146,5,0
Boid147,5,0
Boid148,5,0
Boid149,5,0
Boid0,5,0.02
Boid1,5,0.02
Boid2,5,0.02
Boid3,5,0.02
Boid4,5,0.02
Boid5,5,0.02
Boid6,5,0.02
Boid7,5,0.02
Boid8,5,0.02
Boid9,5,0.02
Boid10,5,0.02
Boid11,5,0.02
Boid12,5,0.02
Boid13,5,0.02
Boid14,5,0.02
Boid15,5,0.02
Boid16,5,0.02
Boid17,5,0.02
Boid18,5,0.02
Boid19,5,0.02
Boid20,5,0.02
Boid21,5,0.02
Boid22,5,0.02
Boid23,5,0.02
Boid24,5,0.02
Boid25,5,0.02
Boid26,5,0.02
Boid27,5,0.02
Boid28,5,0.02
Boid29,5,0.02
Boid30,5,0.02
Boid31,5,0.02
Boid32,5,0.02
Boid33,5,0.02
Boid34,5,0.02
Boid35,5,0.02
Boid36,5,0.02
Boid37,5,0.02
Boid38,5,0.02
Boid39,5,0.02
Boid40,5,0.02
Boid41,5,0.02
Boid42,5,0.02
Boid43,5,0.02
Boid44,5,0.02
Boid45,5,0.02
Boid46,5,0.02
Boid47,5,0.02
Boid48,5,0.02
Boid49,5,0.02
Boid50,5,0.02
Boid51,3.756827,0.02
Boid52,5,0.02
Boid53,5,0.02
Boid54,5,0.02
Boid55,5,0.02
Boid56,5,0.02
Boid57,5,0.02
Boid58,5,0.02
Boid59,5,0.02
Boid60,5,0.02
Boid61,5,0.02
Boid62,5,0.02
Boid63,5,0.02
Boid64,5,0.02
Boid65,5,0.02
Boid66,5,0.02
Boid67,5,0.02
Boid68,5,0.02
Boid69,5,0.02
Boid70,5,0.02
Boid71,5,0.02
Boid72,5,0.02
Boid73,5,0.02
Boid74,5,0.02
Boid75,5,0.02
Boid76,5,0.02
Boid77,5,0.02
Boid78,5,0.02
Boid79,5,0.02
Boid80,5,0.02
Boid81,5,0.02
Boid82,5,0.02
Boid83,5,0.02
Boid84,5,0.02
Boid85,5,0.02
Boid86,5,0.02
Boid87,5,0.02
Boid88,5,0.02
Boid89,5,0.02
Boid90,5,0.02
Boid91,5,0.02
Boid92,5,0.02
Boid93,5,0.02
Boid94,5,0.02
Boid95,5,0.02
Boid96,5,0.02
Boid97,5,0.02
Boid98,5,0.02
Boid99,5,0.02
Boid100,5,0.02
Boid101,5,0.02
Boid102,5,0.02
Boid103,5,0.02
Boid104,5,0.02
Boid105,5,0.02
Boid106,5,0.02
Boid107,5,0.02
Boid108,5,0.02
Boid109,5,0.02
Boid110,5,0.02
Boid111,5,0.02
Boid112,5,0.02
Boid113,5,0.02
Boid114,5,0.02
Boid115,5,0.02
Boid116,5,0.02
Boid117,5,0.02
Boid118,5,0.02
Boid119,5,0.02
Boid120,5,0.02
Boid121,5,0.02
Boid122,5,0.02
Boid123,5,0.02
Boid124,5,0.02
Boid125,5,0.02
Boid126,5,0.02
Boid127,5,0.02
Boid128,5,0.02
Boid129,5,0.02
Boid130,5,0.02
Boid131,5,0.02
Boid132,5,0.02
Boid133,5,0.02
Boid134,5,0.02
Boid135,5,0.02
Boid136,5,0.02
Boid137,5,0.02
Boid138,5,0.02
Boid139,5,0.02
Boid140,5,0.02
Boid141,5,0.02
Boid142,5,0.02
Boid143,5,0.02
Boid144,5,0.02
Boid145,5,0.02
Boid146,5,0.02
Boid147,5,0.02
Boid148,5,0.02
Boid149,5,0.02
Boid0,5,0.3533334
Boid1,5,0.3533334
Boid2,5,0.3533334
Boid3,5,0.3533334
Boid4,5,0.3533334
Boid5,5,0.3533334
Boid6,5,0.3533334
Boid7,5,0.3533334
Boid8,5,0.3533334
Boid9,5,0.3533334
Boid10,5,0.3533334
Boid11,5,0.3533334
Boid12,5,0.3533334
Boid13,5,0.3533334
Boid14,5,0.3533334
Boid15,5,0.3533334
Boid16,5,0.3533334
Boid17,5,0.3533334
Boid18,5,0.3533334
Boid19,5,0.3533334
Boid20,5,0.3533334
Boid21,5,0.3533334
Boid22,5,0.3533334
Boid23,5,0.3533334
Boid24,5,0.3533334
Boid25,5,0.3533334
Boid26,5,0.3533334
Boid27,5,0.3533334
Boid28,5,0.3533334
Boid29,5,0.3533334
Boid30,5,0.3533334
Boid31,5,0.3533334
Boid32,5,0.3533334
Boid33,5,0.3533334
Boid34,5,0.3533334
Boid35,5,0.3533334
Boid36,5,0.3533334
Boid37,5,0.3533334
Boid38,5,0.3533334
Boid39,5,0.3533334
Boid40,5,0.3533334
Boid41,5,0.3533334
Boid42,5,0.3533334
Boid43,5,0.3533334
Boid44,5,0.3533334
Boid45,5,0.3533334
Boid46,5,0.3533334
Boid47,5,0.3533334
Boid48,5,0.3533334
Boid49,5,0.3533334
Boid50,5,0.3533334
Boid51,5,0.3533334
Boid52,5,0.3533334
Boid53,5,0.3533334
Boid54,5,0.3533334
Boid55,5,0.3533334
Boid56,5,0.3533334
Boid57,5,0.3533334
Boid58,5,0.3533334
Boid59,5,0.3533334
Boid60,5,0.3533334
Boid61,5,0.3533334
Boid62,5,0.3533334
Boid63,5,0.3533334
Boid64,5,0.3533334
Boid65,5,0.3533334
Boid66,5,0.3533334
Boid67,5,0.3533334
Boid68,5,0.3533334
Boid69,5,0.3533334
Boid70,5,0.3533334
Boid71,5,0.3533334
Boid72,5,0.3533334
