Boid,Speed
Boid0,1209.858
Boid1,2266.243
Boid2,1708.656
Boid3,296.2734
Boid4,416.7427
Boid5,2216.204
Boid6,497.4321
Boid7,477.3813
Boid8,373.0057
Boid9,661.8467
Boid10,322.232
Boid11,2094.029
Boid12,442.1522
Boid13,826.4514
Boid14,932.6972
Boid15,2051.948
Boid16,1420.265
Boid17,1614.572
Boid18,1395.553
Boid19,1128.509
Boid20,2165.755
Boid21,1452.782
Boid22,2114.619
Boid23,1377.254
Boid24,430.1699
Boid25,352.2899
Boid26,1293.709
Boid27,2054.712
Boid28,1346.127
Boid29,892.9635
Boid30,1113.786
Boid31,1186.445
Boid32,461.7682
Boid33,1142.677
Boid34,1569.869
Boid35,244.711
Boid36,1040.733
Boid37,2191.575
Boid38,997.3715
Boid39,1383.614
Boid40,1609.635
Boid41,1208.862
Boid42,1795.928
Boid43,2118.766
Boid44,1010.774
Boid45,952.2692
Boid46,1869.919
Boid47,769.3599
Boid48,1155.506
Boid49,850.1514
Boid50,318.8607
Boid51,961.3227
Boid52,1139.651
Boid53,720.9959
Boid54,1005.051
Boid55,702.9487
Boid56,1693.96
Boid57,2009.241
Boid58,1535.114
Boid59,1663.968
Boid60,878.7527
Boid61,828.1721
Boid62,1389.936
Boid63,1056.875
Boid64,755.0934
Boid65,1480.663
Boid66,332.9089
Boid67,1538.945
Boid68,929.0519
Boid69,1167.978
Boid70,174.8455
Boid71,1101.834
Boid72,1478.438
Boid73,1990.695
Boid74,153.3404
Boid75,1049.873
Boid76,1390.13
Boid77,1539.032
Boid78,1886.657
Boid79,1732.81
Boid80,1505.699
Boid81,428.4074
Boid82,656.075
Boid83,1127.117
Boid84,1133.431
Boid85,1550.824
Boid86,1860.834
Boid87,892.8948
Boid88,419.7888
Boid89,1663.31
Boid90,429.6401
Boid91,1983.306
Boid92,1347.066
Boid93,900.8198
Boid94,2081.569
Boid95,1235.858
Boid96,569.2494
Boid97,1505.114
Boid98,643.7715
Boid99,1366.005
Boid100,931.1434
Boid101,1749.729
Boid102,1208.39
Boid103,846.6934
Boid104,544.4196
Boid105,1401.185
Boid106,730.5588
Boid107,1464.775
Boid108,1858.957
Boid109,1071.296
Boid110,1418.055
Boid111,1224.349
Boid112,421.8767
Boid113,72.91027
Boid114,1029.152
Boid115,1488.368
Boid116,1308.229
Boid117,1462.697
Boid118,566.5311
Boid119,1328.346
Boid120,459.8147
Boid121,1311.243
Boid122,1889.997
Boid123,388.9625
Boid124,1168.639
Boid125,541.7331
Boid126,686.7969
Boid127,1674.153
Boid128,1706.984
Boid129,774.104
Boid130,1235.005
Boid131,1123.86
Boid132,1004.077
Boid133,908.7022
Boid134,1027.461
Boid135,1374.947
Boid136,449.9614
Boid137,1074.559
Boid138,301.9537
Boid139,665.891
Boid140,1515.817
Boid141,809.6953
Boid142,1065.173
Boid143,1028.192
Boid144,1902.998
Boid145,1492.364
Boid146,1227.333
Boid147,352.9601
Boid148,640.8007
Boid149,1651.946
Boid150,2097.918
Boid151,1983.09
Boid152,1325.003
Boid153,970.1286
Boid154,2069.905
Boid155,1663.408
Boid156,1112.872
Boid157,1166.537
Boid158,2139.967
Boid159,1744.237
Boid160,1688.128
Boid161,1070.222
Boid162,1632.94
Boid163,523.5236
Boid164,336.0528
Boid165,739.429
Boid166,1042.297
Boid167,94.08841
Boid168,1492.059
Boid169,1028.224
Boid170,911.0957
Boid171,1120.889
Boid172,2350.715
Boid173,1476.114
Boid174,1517.421
Boid175,1536.812
Boid176,1819.25
Boid177,1154.489
Boid178,790.5862
Boid179,1730.285
Boid180,1792.127
Boid181,1025.07
Boid182,708.8878
Boid183,1027.176
Boid184,1459.37
Boid185,1889.094
Boid186,985.1343
Boid187,2190.452
Boid188,2053.983
Boid189,2162.068
Boid190,1364.566
Boid191,936.3934
Boid192,499.859
Boid193,1204.315
Boid194,917.9737
Boid195,2192.845
Boid196,1979.573
Boid197,1531.519
Boid198,164.8566
Boid199,398.8762
Boid200,436.1795
Boid201,1206.338
Boid202,1322.359
Boid203,1944.144
Boid204,1745.835
Boid205,703.0286
Boid206,1052.252
Boid207,1010.325
Boid208,863.0091
Boid209,410.2506
Boid210,1141.394
Boid211,1977.866
Boid212,944.6208
Boid213,1145.416
Boid214,1679.119
Boid215,882.6044
Boid216,720.3829
Boid217,1624.461
Boid218,1986.232
Boid219,1520.335
Boid220,1447.467
Boid221,699.6404
Boid222,1171.245
Boid223,512.8403
Boid224,333.4454
Boid225,1252.44
Boid226,1534.171
Boid227,2244.415
Boid228,2168.12
Boid229,1654.273
Boid230,2067.849
Boid231,1113.07
Boid232,1597.373
Boid233,1433.311
Boid234,717.0499
Boid235,1444.766
Boid236,735.5486
Boid237,787.7502
Boid238,1245.661
Boid239,485.4189
Boid240,1799.494
Boid241,1578.087
Boid242,976.6194
Boid243,1561.646
Boid244,1576.675
Boid245,751.9358
Boid246,1260.463
Boid247,1455.855
Boid248,461.1534
Boid249,1106.268
Boid0,1121.658
Boid1,2260.819
Boid2,1706.725
Boid3,297.0014
Boid4,415.5114
Boid5,2213.316
Boid6,496.8422
Boid7,479.0392
Boid8,371.6492
Boid9,659.132
Boid10,320.4604
Boid11,2099.253
Boid12,439.8055
Boid13,824.0048
Boid14,930.5394
Boid15,2051.672
Boid16,1416.438
Boid17,1608.726
Boid18,1395.616
Boid19,1125.938
Boid20,2160.418
Boid21,1452.952
Boid22,2110.867
Boid23,1375.385
Boid24,428.2077
Boid25,352.4309
Boid26,1297.903
Boid27,2054.217
Boid28,1340.641
Boid29,895.5754
Boid30,1112.436
Boid31,1183.647
Boid32,461.6393
Boid33,1141.115
Boid34,1572.262
Boid35,245.149
Boid36,1041.703
Boid37,2191.545
Boid38,1002.925
Boid39,1384.115
Boid40,1610.818
Boid41,1214.328
Boid42,1797.881
Boid43,2116.598
Boid44,1005.543
Boid45,947.1251
Boid46,1864.07
Boid47,770.4462
Boid48,1157.822
Boid49,850.6187
Boid50,316.4386
Boid51,963.0375
Boid52,1144.157
Boid53,725.4684
Boid54,1003.034
Boid55,708.1573
Boid56,1698.947
Boid57,2012.49
Boid58,1538.427
Boid59,1662.792
Boid60,878.2094
Boid61,828.997
Boid62,1388.824
Boid63,1055.766
Boid64,749.8197
Boid65,1474.897
Boid66,328.6355
Boid67,1541.018
Boid68,933.589
Boid69,1166.223
Boid70,169.6043
Boid71,1103.502
Boid72,1479.324
Boid73,1985.958
Boid74,152.7304
Boid75,1047.271
Boid76,1390.887
Boid77,1542.852
Boid78,1890.921
Boid79,1733.225
Boid80,1503.338
Boid81,425.0826
Boid82,653.3207
Boid83,1129.923
Boid84,1135.25
Boid85,1550.774
Boid86,1861.459
Boid87,897.5031
Boid88,418.6958
Boid89,1662.833
