alpha,t
0.108686868686869,0
0.106262626262626,0.02
0.105858585858586,0.3533334
0.121212121212121,0.4477364
0.112323232323232,0.5782623
0.104040404040404,0.6707104
0.101212121212121,0.791445
0.0943434343434343,0.881759
0.0927272727272727,0.9706042
0.0927272727272727,1.062112
0.0943434343434343,1.156043
0.0911111111111111,1.249487
0.0886868686868687,1.339192
0.0882828282828283,1.429969
0.0876767676767677,1.521183
0.0862626262626263,1.611908
0.0858585858585859,1.702519
0.0854545454545455,1.796409
0.0850505050505051,1.88564
0.0866666666666667,1.978574
0.0816161616161616,2.070379
0.0793939393939394,2.16304
0.075959595959596,2.255154
0.0745454545454545,2.34441
0.0737373737373737,2.432328
0.0733333333333333,2.521022
0.0735353535353535,2.61293
0.0727272727272727,2.702462
0.0719191919191919,2.79655
0.0713131313131313,2.887952
0.0711111111111111,2.978259
0.0698989898989899,3.068513
0.0694949494949495,3.157654
0.0682828282828283,3.253334
0.0680808080808081,3.345356
0.0676767676767677,3.43684
0.0674747474747475,3.527565
0.0670707070707071,3.621978
0.0674747474747475,3.714026
0.0674747474747475,3.809998
0.0674747474747475,3.900961
0.0678787878787879,3.993376
0.0676767676767677,4.084929
0.0678787878787879,4.189471
0.0678787878787879,4.279123
0.0684848484848485,4.370457
0.0688888888888889,4.464644
0.0690909090909091,4.55636
0.0690909090909091,4.649154
0.0690909090909091,4.741233
0.0690909090909091,4.836758
0.0688888888888889,4.929721
0.0690909090909091,5.022846
0.0692929292929293,5.118522
0.0698989898989899,5.212108
0.0698989898989899,5.302251
0.0703030303030303,5.393981
0.0698989898989899,5.484105
0.0698989898989899,5.58113
0.0707070707070707,5.672539
0.0709090909090909,5.762725
0.0717171717171717,5.861485
0.0707070707070707,5.95243
0.0709090909090909,6.043945
0.0717171717171717,6.142521
0.0715151515151515,6.230943
0.0711111111111111,6.321331
0.0707070707070707,6.413864
0.0717171717171717,6.505499
0.0715151515151515,6.598045
0.0709090909090909,6.688723
0.0696969696969697,6.781108
0.0688888888888889,6.878779
0.0684848484848485,6.969232
0.0690909090909091,7.061734
0.0686868686868687,7.153486
0.0684848484848485,7.24628
0.0684848484848485,7.338004
0.0688888888888889,7.427485
0.0692929292929293,7.522065
0.0694949494949495,7.61879
0.0694949494949495,7.713416
0.0694949494949495,7.80452
0.0698989898989899,7.898386
0.0696969696969697,7.987212
0.0703030303030303,8.079548
