alpha,t
0.103434343434343,0
0.102828282828283,0.02
0.102626262626263,0.3290936
0.0953535353535354,0.425127
0.076969696969697,0.5260397
0.0622222222222222,0.6241343
0.0527272727272727,0.7203759
0.0454545454545455,0.860938
0.0381818181818182,0.9565634
0.0337373737373737,1.087007
0.0296969696969697,1.180557
0.0282828282828283,1.272183
0.0272727272727273,1.366431
0.0274747474747475,1.464017
0.0280808080808081,1.559237
0.0274747474747475,1.653742
0.0258585858585859,1.749752
0.024040404040404,1.840019
0.024040404040404,1.930028
0.0234343434343434,2.026251
0.0226262626262626,2.121271
0.0226262626262626,2.216404
0.0208080808080808,2.313437
0.0218181818181818,2.408636
0.022020202020202,2.49794
0.0232323232323232,2.593933
0.0232323232323232,2.692621
0.0222222222222222,2.786224
0.0212121212121212,2.880661
0.02,2.975406
0.0195959595959596,3.071181
0.0185858585858586,3.163958
0.0165656565656566,3.254061
0.0163636363636364,3.348248
0.015959595959596,3.444975
0.0161616161616162,3.538258
0.0163636363636364,3.632957
0.0155555555555556,3.729003
0.014949494949495,3.820235
0.0141414141414141,3.913333
0.0135353535353535,4.008362
0.0139393939393939,4.108147
0.0135353535353535,4.203914
0.0137373737373737,4.303691
0.0137373737373737,4.398059
0.0135353535353535,4.489893
0.0141414141414141,4.587267
0.0145454545454545,4.685143
0.0153535353535354,4.78055
0.0153535353535354,4.876509
0.0147474747474747,4.971903
0.0139393939393939,5.067492
0.0137373737373737,5.163925
0.0129292929292929,5.256274
0.0123232323232323,5.351059
0.0127272727272727,5.447993
0.0143434343434343,5.542488
0.0147474747474747,5.6402
0.0141414141414141,5.737152
0.0139393939393939,5.831166
0.0147474747474747,5.922508
0.0153535353535354,6.021191
0.0151515151515152,6.119668
0.0143434343434343,6.213183
0.0143434343434343,6.310451
0.0141414141414141,6.406762
0.0145454545454545,6.501381
0.0147474747474747,6.594854
0.0145454545454545,6.692709
0.014949494949495,6.787036
0.014949494949495,6.880945
0.0151515151515152,6.975793
0.0147474747474747,7.073425
0.0143434343434343,7.170826
0.0141414141414141,7.261131
0.0141414141414141,7.353889
0.0141414141414141,7.45383
0.0137373737373737,7.548529
0.0137373737373737,7.648242
0.0137373737373737,7.743918
0.0141414141414141,7.841986
0.0143434343434343,7.932156
0.0135353535353535,8.026978
0.0133333333333333,8.127702
0.0137373737373737,8.225439
0.0137373737373737,8.322782
0.0139393939393939,8.415731
0.0139393939393939,8.51089
0.0145454545454545,8.604471
0.0143434343434343,8.698723
0.0137373737373737,8.793855
0.0141414141414141,8.889791
0.0145454545454545,8.985648
0.0147474747474747,9.087442
0.0145454545454545,9.186856
0.0143434343434343,9.278297
0.0145454545454545,9.37396
0.0143434343434343,9.471189
0.0141414141414141,9.561852
