alpha,t
0.0971717171717172,0
0.0983838383838384,0.02
0.103838383838384,0.3533334
0.212727272727273,0.5189909
0.240808080808081,0.6106529
0.215353535353535,0.7043113
0.183434343434343,0.7925262
0.149292929292929,0.8834054
0.125656565656566,0.9957581
0.106060606060606,1.095117
0.0951515151515152,1.185343
0.0898989898989899,1.274723
0.0868686868686869,1.364726
0.0836363636363636,1.47869
0.081010101010101,1.569019
0.0795959595959596,1.673937
0.081010101010101,1.770033
0.0814141414141414,1.860199
0.0814141414141414,1.968209
0.0808080808080808,2.077392
0.081010101010101,2.1767
0.0826262626262626,2.264222
0.0816161616161616,2.354121
0.0822222222222222,2.448176
0.0838383838383838,2.532584
0.0874747474747475,2.617401
0.0898989898989899,2.71398
0.0933333333333333,2.80068
0.0941414141414141,2.888326
0.0937373737373737,2.985142
0.0937373737373737,3.071856
0.0929292929292929,3.155905
0.0933333333333333,3.254964
0.0931313131313131,3.342818
0.0917171717171717,3.429268
0.0915151515151515,3.524405
0.0903030303030303,3.614918
0.0896969696969697,3.703235
0.0896969696969697,3.793978
0.0892929292929293,3.879812
0.0896969696969697,3.970088
0.0901010101010101,4.081572
0.0905050505050505,4.164387
0.0913131313131313,4.253983
0.0925252525252525,4.358425
0.0929292929292929,4.46059
0.0937373737373737,4.548329
0.0933333333333333,4.650994
0.0927272727272727,4.736504
0.0941414141414141,4.824171
0.0937373737373737,4.918469
0.0943434343434343,5.003535
0.0951515151515152,5.093053
0.095959595959596,5.190496
0.0965656565656566,5.293936
0.0973737373737374,5.398398
0.0991919191919192,5.482424
0.0991919191919192,5.570261
0.10020202020202,5.663117
0.101616161616162,5.74819
0.103232323232323,5.83459
0.105252525252525,5.930172
0.107272727272727,6.015271
0.111111111111111,6.103583
0.117171717171717,6.196027
0.122626262626263,6.283159
0.128484848484848,6.370576
0.134141414141414,6.464027
0.143030303030303,6.549838
0.151919191919192,6.637085
0.157171717171717,6.730745
0.165050505050505,6.819895
0.169292929292929,6.909461
0.176767676767677,6.999863
0.183232323232323,7.089874
0.190909090909091,7.174704
0.20020202020202,7.270401
0.206262626262626,7.356583
0.207676767676768,7.447343
0.208686868686869,7.539872
0.205454545454545,7.636034
0.200808080808081,7.725761
0.198181818181818,7.814891
0.192727272727273,7.90101
0.19010101010101,7.988489
0.188484848484848,8.099404
0.184040404040404,8.18448
0.182020202020202,8.274123
0.182424242424242,8.367175
0.182222222222222,8.453846
0.181212121212121,8.543524
0.181010101010101,8.637249
0.181414141414141,8.724458
0.181414141414141,8.813752
0.181616161616162,8.908545
0.183838383838384,8.995873
0.184646464646465,9.086051
0.185050505050505,9.176707
0.184848484848485,9.267142
0.185252525252525,9.353233
0.186464646464646,9.443707
0.187878787878788,9.534334
0.191111111111111,9.624344
0.199191919191919,9.736181
0.211111111111111,9.824191
0.207676767676768,9.912889
0.200606060606061,10.02457
0.192727272727273,10.11403
0.187474747474747,10.21237
0.17979797979798,10.30453
0.176161616161616,10.39263
0.172929292929293,10.50355
0.168888888888889,10.59245
0.168888888888889,10.67992
0.168888888888889,10.77022
0.167272727272727,10.86231
0.167474747474747,10.94801
0.166464646464646,11.03995
0.166666666666667,11.12666
0.166868686868687,11.21292
0.167272727272727,11.32284
0.169292929292929,11.40927
0.17010101010101,11.49714
0.169090909090909,11.59384
0.168686868686869,11.68314
0.16969696969697,11.77062
0.16969696969697,11.86206
0.171111111111111,11.9498
0.171717171717172,12.03817
0.173131313131313,12.171
0.177373737373737,12.25961
0.179191919191919,12.36619
0.185656565656566,12.45275
0.197979797979798,12.54122
0.211111111111111,12.63483
0.211515151515152,12.72536
0.204848484848485,12.81538
0.195959595959596,12.92566
0.19030303030303,13.0162
0.188282828282828,13.13111
0.184242424242424,13.21702
0.183030303030303,13.32528
0.184040404040404,13.41405
0.184848484848485,13.50061
0.184040404040404,13.59339
0.186666666666667,13.68323
0.187878787878788,13.77871
0.188080808080808,13.88793
0.186868686868687,13.97294
0.18969696969697,14.05987
0.191717171717172,14.15672
0.192121212121212,14.24323
0.18989898989899,14.33622
0.192323232323232,14.44545
0.194545454545455,14.53264
0.193131313131313,14.61976
0.196969696969697,14.73567
0.195757575757576,14.8487
0.193939393939394,14.95751
0.188484848484848,15.04718
0.184848484848485,15.13475
0.183636363636364,15.22557
0.182626262626263,15.31325
0.181212121212121,15.40304
0.179191919191919,15.49405
0.176969696969697,15.59114
0.175959595959596,15.68183
0.175353535353535,15.7887
0.175151515151515,15.87606
0.173131313131313,15.96505
0.172525252525253,16.05733
0.172525252525253,16.14329
0.172121212121212,16.23026
0.171919191919192,16.32469
0.172121212121212,16.41226
0.16989898989899,16.49982
0.16949494949495,16.59383
0.16969696969697,16.68241
0.169090909090909,16.77267
0.16949494949495,16.86478
0.17050505050505,16.95343
0.171717171717172,17.04222
0.172323232323232,17.13279
0.172929292929293,17.22109
0.174141414141414,17.31516
0.175555555555556,17.41105
0.176969696969697,17.49739
0.178585858585859,17.58467
0.18040404040404,17.6776
0.182020202020202,17.76534
0.182424242424242,17.85296
0.181010101010101,17.94549
0.17979797979798,18.03392
0.181616161616162,18.12532
0.185252525252525,18.22801
0.187878787878788,18.31606
0.187676767676768,18.40238
0.188080808080808,18.49546
0.18969696969697,18.5832
0.191919191919192,18.67325
0.192929292929293,18.78418
0.192929292929293,18.86925
0.193131313131313,18.95876
0.192121212121212,19.05057
0.192929292929293,19.13745
0.195353535353535,19.22321
0.213131313131313,19.31979
0.265252525252525,19.40572
0.307070707070707,19.49487
0.321010101010101,19.59872
0.308888888888889,19.68967
0.283030303030303,19.77857
0.263434343434343,19.87016
0.245252525252525,19.9594
0.234747474747475,20.04904
0.225656565656566,20.14302
0.217979797979798,20.22955
0.214141414141414,20.32203
0.211717171717172,20.41919
0.208888888888889,20.50672
0.205858585858586,20.59577
0.203838383838384,20.68601
0.206868686868687,20.77484
0.215151515151515,20.86338
0.221212121212121,20.95782
0.231313131313131,21.04469
0.234747474747475,21.13403
0.238989898989899,21.22228
0.243434343434343,21.31116
0.244242424242424,21.40027
0.242222222222222,21.49449
0.241212121212121,21.58223
0.243636363636364,21.67056
0.260606060606061,21.76543
0.287070707070707,21.85236
0.297373737373737,21.94088
0.305050505050505,22.03252
0.291515151515152,22.12586
0.272121212121212,22.21236
0.255353535353535,22.32215
0.233535353535354,22.41007
0.218383838383838,22.49812
0.204444444444444,22.59077
0.195151515151515,22.67874
0.189494949494949,22.76867
0.184242424242424,22.85929
0.178383838383838,22.94854
0.174343434343434,23.03731
0.171111111111111,23.14042
0.168888888888889,23.22671
0.168282828282828,23.31538
0.166666666666667,23.422
0.165858585858586,23.50779
0.165858585858586,23.60062
0.166262626262626,23.71258
0.166868686868687,23.799
0.167474747474747,23.88897
0.17010101010101,24.00253
0.173737373737374,24.09083
0.173939393939394,24.18956
0.175555555555556,24.2782
0.177373737373737,24.3633
0.178787878787879,24.45898
0.182424242424242,24.5458
0.186464646464646,24.63524
0.190505050505051,24.72738
0.195151515151515,24.81901
0.198181818181818,24.90557
0.201818181818182,24.99566
0.207070707070707,25.08532
0.212323232323232,25.17403
0.216363636363636,25.27016
0.220808080808081,25.35958
0.224040404040404,25.44803
0.228484848484848,25.5402
0.22969696969697,25.62751
0.232121212121212,25.71599
0.234747474747475,25.80749
0.239393939393939,25.8961
0.238383838383838,25.98484
0.241818181818182,26.07899
0.245454545454545,26.1667
0.250909090909091,26.25645
0.260808080808081,26.35088
0.267676767676768,26.43826
0.273737373737374,26.52731
0.283030303030303,26.62024
0.300606060606061,26.7088
0.318787878787879,26.80166
0.344848484848485,26.91002
0.385050505050505,26.99895
0.427070707070707,27.09051
0.478585858585859,27.19798
0.537575757575758,27.29263
0.59030303030303,27.38646
0.618787878787879,27.48031
0.641212121212121,27.57261
0.652929292929293,27.68139
0.66040404040404,27.77652
0.661212121212121,27.88953
0.651515151515151,27.98666
0.641616161616162,28.09853
0.632727272727273,28.19161
0.63010101010101,28.30303
0.629292929292929,28.40172
0.622626262626263,28.51004
0.622424242424242,28.60168
0.618989898989899,28.69729
0.607676767676768,28.8003
0.602626262626263,28.8938
0.602424242424242,28.98645
0.598989898989899,29.10323
0.592727272727273,29.1945
0.588080808080808,29.29827
0.581616161616162,29.38867
0.576767676767677,29.48557
0.570505050505051,29.58734
0.568080808080808,29.67962
0.553737373737374,29.77261
0.536363636363636,29.88596
0.51959595959596,29.97993
0.507070707070707,30.07414
0.494747474747475,30.16551
0.481010101010101,30.2592
0.463838383838384,30.36744
0.447070707070707,30.459
0.436565656565657,30.55033
0.427676767676768,30.65865
0.414747474747475,30.74913
0.40020202020202,30.83997
0.386666666666667,30.94683
0.374141414141414,31.03662
0.362828282828283,31.12883
0.352929292929293,31.23721
0.342828282828283,31.32762
0.333939393939394,31.4173
0.327878787878788,31.52925
0.315959595959596,31.62286
0.30989898989899,31.71578
0.299191919191919,31.80317
0.293939393939394,31.89376
0.289090909090909,31.98454
0.283636363636364,32.07337
0.277777777777778,32.16272
0.273131313131313,32.25837
0.266262626262626,32.34892
0.25979797979798,32.43595
0.257979797979798,32.52664
0.253333333333333,32.61324
0.250505050505051,32.70266
0.246868686868687,32.79751
0.243232323232323,32.8847
0.24040404040404,32.97284
0.241616161616162,33.08276
0.240606060606061,33.17074
0.240606060606061,33.25894
0.239191919191919,33.36586
0.238383838383838,33.45255
0.238181818181818,33.54121
0.241212121212121,33.63197
0.242828282828283,33.72037
0.241616161616162,33.80766
0.246060606060606,33.90146
0.248282828282828,33.98808
0.252727272727273,34.07851
0.256363636363636,34.19546
0.265656565656566,34.28445
0.273333333333333,34.37687
0.279191919191919,34.46365
0.287272727272727,34.55104
0.293939393939394,34.64508
0.301616161616162,34.7348
0.307676767676768,34.82421
0.316969696969697,34.9351
0.322828282828283,35.02372
0.332727272727273,35.11321
0.340808080808081,35.22147
0.345656565656566,35.31085
0.352121212121212,35.40031
0.356969696969697,35.50309
0.359393939393939,35.59031
0.364646464646465,35.68974
0.367272727272727,35.78345
0.371313131313131,35.87101
0.369090909090909,35.96304
0.365656565656566,36.07339
0.361212121212121,36.16039
0.358585858585859,36.24937
0.358585858585859,36.3506
0.355555555555556,36.44305
0.351111111111111,36.5321
0.345454545454545,36.64199
0.336767676767677,36.73544
0.333131313131313,36.82883
0.326464646464646,36.91832
0.319191919191919,37.00732
0.312121212121212,37.09741
0.309494949494949,37.18671
0.304040404040404,37.28025
0.297373737373737,37.38855
0.288282828282828,37.47727
0.282626262626263,37.56616
0.279393939393939,37.6576
0.270505050505051,37.74664
0.265454545454545,37.83594
0.26020202020202,37.94699
0.250505050505051,38.03382
0.246262626262626,38.12111
0.242020202020202,38.2134
0.239393939393939,38.30046
0.237171717171717,38.3878
0.235555555555556,38.48394
0.230909090909091,38.57043
0.226464646464646,38.65607
0.225656565656566,38.75056
0.224040404040404,38.83679
0.222828282828283,38.92529
0.222222222222222,39.01913
0.224444444444444,39.10733
0.225454545454545,39.19576
0.226464646464646,39.28787
0.227272727272727,39.37379
0.231313131313131,39.46029
0.234343434343434,39.55613
0.237171717171717,39.64727
0.241010101010101,39.73904
0.245858585858586,39.84753
0.250505050505051,39.93264
0.257575757575758,40.02443
0.262222222222222,40.11537
0.266060606060606,40.20604
0.270505050505051,40.29603
0.275757575757576,40.40438
0.281414141414141,40.49186
0.287676767676768,40.58056
0.293535353535354,40.6729
0.295959595959596,40.76103
0.3,40.85196
0.308484848484848,40.96506
0.318383838383838,41.05309
0.31959595959596,41.15195
0.328282828282828,41.24064
0.329292929292929,41.33171
0.333131313131313,41.42364
0.337979797979798,41.51389
0.334545454545455,41.6026
0.336565656565657,41.70057
0.335353535353535,41.78959
0.335757575757576,41.8816
0.331919191919192,41.97259
0.32989898989899,42.06369
0.328282828282828,42.15408
0.324040404040404,42.24942
0.319393939393939,42.33801
0.32,42.42722
0.312929292929293,42.51878
0.312121212121212,42.60705
0.309090909090909,42.69831
0.302626262626263,42.78851
0.296767676767677,42.87852
0.289292929292929,42.97063
0.283838383838384,43.06537
0.281212121212121,43.15294
0.278989898989899,43.24257
0.273535353535354,43.35169
0.26969696969697,43.43803
