alpha,t
0.449795918,0
0.453061224,0.02
0.462857143,0.3468553
0.430204082,0.3941819
0.387755102,0.4225909
0.35755102,0.4402394
0.336326531,0.4567432
0.332244898,0.4729516
0.318367347,0.4933174
0.312653061,0.5093141
0.302040816,0.5260864
0.293877551,0.5436232
0.288163265,0.5609811
0.28244898,0.5812826
0.269387755,0.6032838
0.251428571,0.6190765
0.262857143,0.6345682
0.252244898,0.6513299
0.250612245,0.6667791
0.244897959,0.6840496
0.239183673,0.7032019
0.232653061,0.7214038
0.217959184,0.7382529
0.223673469,0.7563273
0.22122449,0.7726667
0.21877551,0.7887967
0.217142857,0.8115912
0.212244898,0.8320522
0.207346939,0.8571989
0.204081633,0.8742654
0.2,0.8907116
0.198367347,0.9056948
0.195918367,0.9241677
0.194285714,0.9443838
0.193469388,0.9609392
0.179591837,0.9776767
0.187755102,0.9934043
0.186122449,1.013746
0.184489796,1.029228
0.183673469,1.044667
0.182857143,1.061522
0.166530612,1.0768
0.177959184,1.093418
0.177959184,1.112374
0.175510204,1.127577
0.174693878,1.143853
0.16244898,1.159091
0.173061224,1.176576
0.171428571,1.191713
0.167346939,1.211129
0.164897959,1.22668
0.163265306,1.244543
0.163265306,1.261663
0.149387755,1.278857
0.160816327,1.296865
0.159183673,1.31535
0.15755102,1.332188
0.155918367,1.347711
0.154285714,1.364068
0.152653061,1.380544
0.140408163,1.395895
0.150204082,1.415142
0.148571429,1.433855
0.148571429,1.450337
0.146938776,1.465211
0.146122449,1.48241
0.135510204,1.497499
0.143673469,1.51591
0.143673469,1.53256
0.143673469,1.547951
0.143673469,1.563926
0.134693878,1.579412
0.142857143,1.599182
0.142857143,1.615886
0.142040816,1.63104
0.142040816,1.647661
0.142040816,1.662985
0.134693878,1.679778
0.142040816,1.698182
0.142040816,1.714694
0.142040816,1.730247
0.142040816,1.74712
0.142040816,1.762583
0.131428571,1.777933
0.14122449,1.79773
0.14122449,1.813704
0.139591837,1.83005
0.13877551,1.845278
0.13877551,1.861295
0.127346939,1.87624
0.137142857,1.894695
0.136326531,1.911282
0.136326531,1.926702
0.136326531,1.943128
0.128163265,1.958664
0.135510204,1.974927
0.135510204,1.992938
0.135510204,2.007732
0.135510204,2.025618
0.134693878,2.040989
0.127346939,2.05732
0.135510204,2.073172
0.135510204,2.092326
0.135510204,2.108424
0.135510204,2.123358
0.128163265,2.139552
0.135510204,2.154587
0.135510204,2.174749
0.136326531,2.190355
0.136326531,2.20676
0.136326531,2.222608
0.137142857,2.240602
0.126530612,2.257369
0.137142857,2.276317
0.137959184,2.293063
0.137959184,2.307947
0.137142857,2.32448
0.125714286,2.339377
0.136326531,2.355762
0.135510204,2.37663
0.135510204,2.391902
0.135510204,2.40974
0.135510204,2.42993
0.13877551,2.451609
0.137959184,2.467436
0.137959184,2.485671
0.137142857,2.502002
0.125714286,2.517127
0.137142857,2.533244
0.137959184,2.548846
0.13877551,2.565304
0.137959184,2.583469
0.127346939,2.598742
0.13877551,2.614727
0.137959184,2.630373
0.137959184,2.647722
0.137959184,2.66337
0.13877551,2.682183
0.131428571,2.698428
0.139591837,2.713448
0.139591837,2.729793
0.139591837,2.745634
0.139591837,2.765335
