Boid, OtherBoid
Boid0,Boid1,0
Boid1,Boid0,0
Boid2,Boid0,0
Boid3,Boid0,0
Boid4,Boid0,0
Boid5,Boid0,0
Boid6,Boid0,0
Boid7,Boid0,0
Boid8,Boid0,0
Boid9,Boid0,0
Boid0,Boid1,0.02
Boid1,Boid0,0.02
Boid2,Boid1,0.02
Boid3,Boid1,0.02
Boid4,Boid1,0.02
Boid5,Boid1,0.02
Boid6,Boid1,0.02
Boid7,Boid1,0.02
Boid8,Boid1,0.02
Boid9,Boid1,0.02
Boid0,Boid1,0.3533334
Boid1,Boid0,0.3533334
Boid2,Boid1,0.3533334
Boid3,Boid6,0.3533334
Boid4,Boid6,0.3533334
Boid5,Boid1,0.3533334
Boid6,Boid1,0.3533334
Boid7,Boid1,0.3533334
Boid8,Boid1,0.3533334
Boid9,Boid1,0.3533334
Boid0,Boid1,0.388566
Boid1,Boid0,0.388566
Boid2,Boid5,0.388566
Boid3,Boid6,0.388566
Boid4,Boid6,0.388566
Boid5,Boid2,0.388566
Boid6,Boid9,0.388566
Boid7,Boid0,0.388566
Boid8,Boid6,0.388566
Boid9,Boid6,0.388566
Boid0,Boid1,0.4025601
Boid1,Boid0,0.4025601
Boid2,Boid5,0.4025601
Boid3,Boid6,0.4025601
Boid4,Boid6,0.4025601
Boid5,Boid2,0.4025601
Boid6,Boid4,0.4025601
Boid7,Boid0,0.4025601
Boid8,Boid6,0.4025601
Boid9,Boid4,0.4025601
Boid0,Boid1,0.4115053
Boid1,Boid0,0.4115053
Boid2,Boid5,0.4115053
Boid3,Boid6,0.4115053
Boid4,Boid9,0.4115053
Boid5,Boid2,0.4115053
Boid6,Boid4,0.4115053
Boid7,Boid0,0.4115053
Boid8,Boid6,0.4115053
Boid9,Boid4,0.4115053
Boid0,Boid1,0.4173598
Boid1,Boid0,0.4173598
Boid2,Boid5,0.4173598
Boid3,Boid6,0.4173598
Boid4,Boid6,0.4173598
Boid5,Boid2,0.4173598
Boid6,Boid4,0.4173598
Boid7,Boid0,0.4173598
Boid8,Boid6,0.4173598
Boid9,Boid4,0.4173598
Boid0,Boid7,0.4234915
Boid1,Boid0,0.4234915
Boid2,Boid5,0.4234915
Boid3,Boid6,0.4234915
Boid4,Boid9,0.4234915
Boid5,Boid2,0.4234915
Boid6,Boid9,0.4234915
Boid7,Boid0,0.4234915
Boid8,Boid6,0.4234915
Boid9,Boid4,0.4234915
Boid0,Boid7,0.4290645
Boid1,Boid0,0.4290645
Boid2,Boid5,0.4290645
Boid3,Boid6,0.4290645
Boid4,Boid9,0.4290645
Boid5,Boid2,0.4290645
Boid6,Boid9,0.4290645
Boid7,Boid0,0.4290645
Boid8,Boid6,0.4290645
Boid9,Boid4,0.4290645
Boid0,Boid7,0.4342629
Boid1,Boid0,0.4342629
Boid2,Boid5,0.4342629
Boid3,Boid6,0.4342629
Boid4,Boid6,0.4342629
Boid5,Boid2,0.4342629
Boid6,Boid4,0.4342629
Boid7,Boid0,0.4342629
Boid8,Boid6,0.4342629
Boid9,Boid4,0.4342629
Boid0,Boid7,0.4400526
Boid1,Boid0,0.4400526
Boid2,Boid5,0.4400526
Boid3,Boid6,0.4400526
Boid4,Boid9,0.4400526
Boid5,Boid2,0.4400526
Boid6,Boid9,0.4400526
Boid7,Boid0,0.4400526
Boid8,Boid6,0.4400526
Boid9,Boid4,0.4400526
Boid0,Boid7,0.4457629
Boid1,Boid0,0.4457629
Boid2,Boid5,0.4457629
Boid3,Boid6,0.4457629
Boid4,Boid9,0.4457629
Boid5,Boid2,0.4457629
Boid6,Boid9,0.4457629
Boid7,Boid0,0.4457629
Boid8,Boid6,0.4457629
Boid9,Boid4,0.4457629
Boid0,Boid7,0.4517159
Boid1,Boid0,0.4517159
Boid2,Boid5,0.4517159
Boid3,Boid6,0.4517159
Boid4,Boid6,0.4517159
Boid5,Boid2,0.4517159
Boid6,Boid9,0.4517159
Boid7,Boid0,0.4517159
Boid8,Boid6,0.4517159
Boid9,Boid4,0.4517159
Boid0,Boid7,0.4612219
Boid1,Boid0,0.4612219
Boid2,Boid5,0.4612219
Boid3,Boid6,0.4612219
Boid4,Boid9,0.4612219
Boid5,Boid2,0.4612219
Boid6,Boid9,0.4612219
Boid7,Boid0,0.4612219
Boid8,Boid6,0.4612219
Boid9,Boid4,0.4612219
Boid0,Boid7,0.4695179
Boid1,Boid0,0.4695179
Boid2,Boid5,0.4695179
Boid3,Boid6,0.4695179
Boid4,Boid9,0.4695179
Boid5,Boid2,0.4695179
Boid6,Boid9,0.4695179
Boid7,Boid0,0.4695179
Boid8,Boid6,0.4695179
Boid9,Boid4,0.4695179
Boid0,Boid7,0.4751732
Boid1,Boid0,0.4751732
Boid2,Boid5,0.4751732
Boid3,Boid6,0.4751732
Boid4,Boid6,0.4751732
Boid5,Boid2,0.4751732
Boid6,Boid9,0.4751732
Boid7,Boid0,0.4751732
Boid8,Boid6,0.4751732
Boid9,Boid4,0.4751732
Boid0,Boid7,0.4804595
Boid1,Boid0,0.4804595
Boid2,Boid5,0.4804595
Boid3,Boid6,0.4804595
Boid4,Boid9,0.4804595
Boid5,Boid2,0.4804595
Boid6,Boid9,0.4804595
Boid7,Boid0,0.4804595
Boid8,Boid6,0.4804595
Boid9,Boid4,0.4804595
Boid0,Boid7,0.4859823
Boid1,Boid0,0.4859823
Boid2,Boid5,0.4859823
Boid3,Boid6,0.4859823
Boid4,Boid9,0.4859823
Boid5,Boid2,0.4859823
Boid6,Boid9,0.4859823
Boid7,Boid0,0.4859823
Boid8,Boid6,0.4859823
Boid9,Boid4,0.4859823
Boid0,Boid7,0.4918528
Boid1,Boid0,0.4918528
Boid2,Boid5,0.4918528
Boid3,Boid6,0.4918528
Boid4,Boid9,0.4918528
Boid5,Boid2,0.4918528
Boid6,Boid9,0.4918528
Boid7,Boid0,0.4918528
Boid8,Boid6,0.4918528
Boid9,Boid4,0.4918528
Boid0,Boid7,0.4970956
Boid1,Boid0,0.4970956
Boid2,Boid5,0.4970956
Boid3,Boid6,0.4970956
Boid4,Boid6,0.4970956
Boid5,Boid2,0.4970956
Boid6,Boid9,0.4970956
Boid7,Boid0,0.4970956
Boid8,Boid6,0.4970956
Boid9,Boid4,0.4970956
Boid0,Boid7,0.5025883
Boid1,Boid0,0.5025883
Boid2,Boid5,0.5025883
Boid3,Boid6,0.5025883
Boid4,Boid9,0.5025883
Boid5,Boid2,0.5025883
Boid6,Boid9,0.5025883
Boid7,Boid0,0.5025883
Boid8,Boid6,0.5025883
Boid9,Boid4,0.5025883
Boid0,Boid7,0.5102252
Boid1,Boid0,0.5102252
Boid2,Boid5,0.5102252
Boid3,Boid6,0.5102252
Boid4,Boid9,0.5102252
Boid5,Boid2,0.5102252
Boid6,Boid9,0.5102252
Boid7,Boid0,0.5102252
Boid8,Boid6,0.5102252
Boid9,Boid4,0.5102252
Boid0,Boid7,0.5162113
Boid1,Boid0,0.5162113
Boid2,Boid5,0.5162113
Boid3,Boid6,0.5162113
Boid4,Boid6,0.5162113
Boid5,Boid2,0.5162113
Boid6,Boid9,0.5162113
Boid7,Boid0,0.5162113
Boid8,Boid6,0.5162113
Boid9,Boid4,0.5162113
Boid0,Boid7,0.5215392
Boid1,Boid0,0.5215392
Boid2,Boid5,0.5215392
Boid3,Boid6,0.5215392
Boid4,Boid9,0.5215392
Boid5,Boid2,0.5215392
Boid6,Boid9,0.5215392
Boid7,Boid0,0.5215392
Boid8,Boid6,0.5215392
Boid9,Boid4,0.5215392
Boid0,Boid7,0.5269765
Boid1,Boid0,0.5269765
Boid2,Boid5,0.5269765
Boid3,Boid6,0.5269765
Boid4,Boid9,0.5269765
Boid5,Boid2,0.5269765
Boid6,Boid9,0.5269765
Boid7,Boid0,0.5269765
Boid8,Boid6,0.5269765
Boid9,Boid4,0.5269765
Boid0,Boid7,0.5321718
Boid1,Boid0,0.5321718
Boid2,Boid5,0.5321718
Boid3,Boid6,0.5321718
Boid4,Boid9,0.5321718
Boid5,Boid2,0.5321718
Boid6,Boid9,0.5321718
Boid7,Boid0,0.5321718
Boid8,Boid6,0.5321718
Boid9,Boid4,0.5321718
Boid0,Boid7,0.537823
Boid1,Boid0,0.537823
Boid2,Boid5,0.537823
Boid3,Boid6,0.537823
Boid4,Boid6,0.537823
Boid5,Boid2,0.537823
Boid6,Boid9,0.537823
Boid7,Boid0,0.537823
Boid8,Boid6,0.537823
Boid9,Boid4,0.537823
Boid0,Boid7,0.5431876
Boid1,Boid0,0.5431876
Boid2,Boid5,0.5431876
Boid3,Boid6,0.5431876
Boid4,Boid9,0.5431876
Boid5,Boid2,0.5431876
Boid6,Boid9,0.5431876
Boid7,Boid0,0.5431876
Boid8,Boid6,0.5431876
Boid9,Boid4,0.5431876
Boid0,Boid7,0.548726
Boid1,Boid0,0.548726
Boid2,Boid5,0.548726
Boid3,Boid6,0.548726
Boid4,Boid9,0.548726
Boid5,Boid2,0.548726
Boid6,Boid9,0.548726
Boid7,Boid0,0.548726
Boid8,Boid6,0.548726
Boid9,Boid4,0.548726
Boid0,Boid7,0.5579526
Boid1,Boid0,0.5579526
Boid2,Boid5,0.5579526
Boid3,Boid6,0.5579526
Boid4,Boid9,0.5579526
Boid5,Boid2,0.5579526
Boid6,Boid9,0.5579526
Boid7,Boid0,0.5579526
Boid8,Boid6,0.5579526
Boid9,Boid4,0.5579526
Boid0,Boid7,0.5633678
Boid1,Boid0,0.5633678
Boid2,Boid5,0.5633678
Boid3,Boid6,0.5633678
Boid4,Boid9,0.5633678
Boid5,Boid2,0.5633678
Boid6,Boid9,0.5633678
Boid7,Boid0,0.5633678
Boid8,Boid6,0.5633678
Boid9,Boid4,0.5633678
Boid0,Boid7,0.5686507
Boid1,Boid0,0.5686507
Boid2,Boid5,0.5686507
Boid3,Boid6,0.5686507
Boid4,Boid9,0.5686507
Boid5,Boid2,0.5686507
Boid6,Boid9,0.5686507
Boid7,Boid0,0.5686507
Boid8,Boid6,0.5686507
Boid9,Boid4,0.5686507
Boid0,Boid7,0.5739596
Boid1,Boid0,0.5739596
Boid2,Boid5,0.5739596
Boid3,Boid6,0.5739596
Boid4,Boid9,0.5739596
Boid5,Boid2,0.5739596
Boid6,Boid9,0.5739596
Boid7,Boid0,0.5739596
Boid8,Boid6,0.5739596
Boid9,Boid4,0.5739596
Boid0,Boid7,0.5789896
Boid1,Boid0,0.5789896
Boid2,Boid5,0.5789896
Boid3,Boid6,0.5789896
Boid4,Boid6,0.5789896
Boid5,Boid2,0.5789896
Boid6,Boid9,0.5789896
Boid7,Boid0,0.5789896
Boid8,Boid6,0.5789896
Boid9,Boid4,0.5789896
Boid0,Boid7,0.5850691
Boid1,Boid0,0.5850691
Boid2,Boid5,0.5850691
Boid3,Boid6,0.5850691
Boid4,Boid9,0.5850691
Boid5,Boid2,0.5850691
Boid6,Boid9,0.5850691
Boid7,Boid0,0.5850691
Boid8,Boid6,0.5850691
Boid9,Boid6,0.5850691
Boid0,Boid7,0.5905855
Boid1,Boid0,0.5905855
Boid2,Boid5,0.5905855
Boid3,Boid6,0.5905855
Boid4,Boid9,0.5905855
Boid5,Boid2,0.5905855
Boid6,Boid9,0.5905855
Boid7,Boid0,0.5905855
Boid8,Boid6,0.5905855
Boid9,Boid6,0.5905855
Boid0,Boid7,0.5957289
Boid1,Boid0,0.5957289
Boid2,Boid5,0.5957289
Boid3,Boid6,0.5957289
Boid4,Boid9,0.5957289
Boid5,Boid2,0.5957289
Boid6,Boid9,0.5957289
Boid7,Boid0,0.5957289
Boid8,Boid6,0.5957289
Boid9,Boid6,0.5957289
Boid0,Boid7,0.6036969
Boid1,Boid0,0.6036969
Boid2,Boid5,0.6036969
Boid3,Boid6,0.6036969
Boid4,Boid9,0.6036969
Boid5,Boid2,0.6036969
Boid6,Boid9,0.6036969
Boid7,Boid0,0.6036969
Boid8,Boid6,0.6036969
Boid9,Boid6,0.6036969
Boid0,Boid7,0.6101506
Boid1,Boid0,0.6101506
Boid2,Boid5,0.6101506
Boid3,Boid6,0.6101506
Boid4,Boid9,0.6101506
Boid5,Boid2,0.6101506
Boid6,Boid9,0.6101506
Boid7,Boid0,0.6101506
Boid8,Boid6,0.6101506
Boid9,Boid6,0.6101506
Boid0,Boid7,0.6154022
Boid1,Boid0,0.6154022
Boid2,Boid5,0.6154022
Boid3,Boid6,0.6154022
Boid4,Boid6,0.6154022
