boid-i, boid-j, timeElapsed
Boid0,Boid16,.000
Boid1,Boid18,.000
Boid2,Boid15,.000
Boid3,Boid16,.000
Boid4,Boid5,.000
Boid5,Boid4,.000
Boid6,Boid16,.000
Boid7,Boid32,.000
Boid8,Boid16,.000
Boid9,Boid19,.000
Boid10,Boid16,.000
Boid11,Boid18,.000
Boid12,Boid4,.000
Boid13,Boid15,.000
Boid14,Boid32,.000
Boid15,Boid16,.000
Boid16,Boid41,.000
Boid17,Boid4,.000
Boid18,Boid16,.000
Boid19,Boid16,.000
Boid20,Boid16,.000
Boid21,Boid16,.000
Boid22,Boid16,.000
Boid23,Boid18,.000
Boid24,Boid32,.000
Boid25,Boid16,.000
Boid26,Boid16,.000
Boid27,Boid16,.000
Boid28,Boid18,.000
Boid29,Boid16,.000
Boid30,Boid16,.000
Boid31,Boid16,.000
Boid32,Boid16,.000
Boid33,Boid16,.000
Boid34,Boid4,.000
Boid35,Boid16,.000
Boid36,Boid18,.000
Boid37,Boid18,.000
Boid38,Boid16,.000
Boid39,Boid16,.000
Boid40,Boid15,.000
Boid41,Boid16,.000
Boid42,Boid18,.000
Boid43,Boid20,.000
Boid44,Boid16,.000
Boid45,Boid16,.000
Boid46,Boid16,.000
Boid47,Boid32,.000
Boid48,Boid16,.000
Boid49,Boid15,.000
Boid0,Boid26,.020
Boid1,Boid2,.020
Boid2,Boid34,.020
Boid3,Boid26,.020
Boid4,Boid17,.020
Boid5,Boid17,.020
Boid6,Boid21,.020
Boid7,Boid21,.020
Boid8,Boid25,.020
Boid9,Boid25,.020
Boid10,Boid21,.020
Boid11,Boid2,.020
Boid12,Boid2,.020
Boid13,Boid2,.020
Boid14,Boid21,.020
Boid15,Boid26,.020
Boid16,Boid25,.020
Boid17,Boid7,.020
Boid18,Boid26,.020
Boid19,Boid25,.020
Boid20,Boid25,.020
Boid21,Boid25,.020
Boid22,Boid25,.020
Boid23,Boid26,.020
Boid24,Boid21,.020
Boid25,Boid21,.020
Boid26,Boid41,.020
Boid27,Boid17,.020
Boid28,Boid17,.020
Boid29,Boid26,.020
Boid30,Boid25,.020
Boid31,Boid26,.020
Boid32,Boid25,.020
Boid33,Boid26,.020
Boid34,Boid2,.020
Boid35,Boid25,.020
Boid36,Boid26,.020
Boid37,Boid2,.020
Boid38,Boid25,.020
Boid39,Boid25,.020
Boid40,Boid2,.020
Boid41,Boid25,.020
Boid42,Boid2,.020
Boid43,Boid21,.020
Boid44,Boid25,.020
Boid45,Boid26,.020
Boid46,Boid22,.020
Boid47,Boid21,.020
Boid48,Boid25,.020
Boid49,Boid2,.020
Boid0,Boid26,.353
Boid1,Boid3,.353
Boid2,Boid40,.353
Boid3,Boid26,.353
Boid4,Boid17,.353
Boid5,Boid17,.353
Boid6,Boid22,.353
Boid7,Boid22,.353
Boid8,Boid22,.353
Boid9,Boid22,.353
Boid10,Boid22,.353
Boid11,Boid43,.353
Boid12,Boid2,.353
Boid13,Boid43,.353
Boid14,Boid9,.353
Boid15,Boid26,.353
Boid16,Boid22,.353
Boid17,Boid9,.353
Boid18,Boid26,.353
Boid19,Boid22,.353
Boid20,Boid22,.353
Boid21,Boid22,.353
Boid22,Boid9,.353
Boid23,Boid26,.353
Boid24,Boid9,.353
Boid25,Boid22,.353
Boid26,Boid3,.353
Boid27,Boid17,.353
Boid28,Boid17,.353
Boid29,Boid26,.353
Boid30,Boid22,.353
Boid31,Boid26,.353
Boid32,Boid22,.353
Boid33,Boid43,.353
Boid34,Boid2,.353
Boid35,Boid22,.353
Boid36,Boid26,.353
Boid37,Boid2,.353
Boid38,Boid22,.353
Boid39,Boid22,.353
Boid40,Boid2,.353
Boid41,Boid22,.353
Boid42,Boid43,.353
Boid43,Boid9,.353
Boid44,Boid22,.353
Boid45,Boid43,.353
Boid46,Boid22,.353
Boid47,Boid9,.353
Boid48,Boid22,.353
Boid49,Boid43,.353
Boid0,Boid6,.396
Boid1,Boid6,.396
Boid2,Boid6,.396
Boid3,Boid6,.396
Boid4,Boid6,.396
Boid5,Boid9,.396
