Boid,Speed
Boid0,2.73207,0
Boid1,3.273332,0
Boid2,4.406205,0
Boid3,4.117134,0
Boid4,2.702601,0
Boid5,4.69956,0
Boid6,3.0026,0
Boid7,2.745134,0
Boid8,1.514701,0
Boid9,3.426164,0
Boid10,1.441652,0
Boid11,1.235325,0
Boid12,3.836965,0
Boid13,3.6156,0
Boid14,2.177768,0
Boid15,3.198972,0
Boid16,4.058218,0
Boid17,1.43132,0
Boid18,3.826241,0
Boid19,3.211042,0
Boid20,4.74708,0
Boid21,4.461884,0
Boid22,1.074483,0
Boid23,2.020416,0
Boid24,3.352769,0
Boid25,4.555295,0
Boid26,3.980794,0
Boid27,1.47415,0
Boid28,3.058629,0
Boid29,4.115506,0
Boid30,1.667565,0
Boid31,1.389627,0
Boid32,1.142986,0
Boid33,3.846328,0
Boid34,1.427103,0
Boid35,2.2286,0
Boid36,2.4221,0
Boid37,1.860574,0
Boid38,1.7117,0
Boid39,2.426836,0
Boid40,3.682319,0
Boid41,2.45575,0
Boid42,1.762461,0
Boid43,2.001642,0
Boid44,1.541998,0
Boid45,2.493083,0
Boid46,1.942175,0
Boid47,3.977105,0
Boid48,3.210072,0
Boid49,3.620902,0
Boid50,4.303808,0
Boid51,1.063246,0
Boid52,1.622506,0
Boid53,1.278788,0
Boid54,3.804333,0
Boid55,3.998024,0
Boid56,2.854933,0
Boid57,2.167464,0
Boid58,2.267019,0
Boid59,2.615048,0
Boid60,4.010552,0
Boid61,1.736887,0
Boid62,2.82021,0
Boid63,3.236572,0
Boid64,1.079498,0
Boid65,1.657375,0
Boid66,3.054239,0
Boid67,3.441167,0
Boid68,4.382504,0
Boid69,3.538637,0
Boid70,2.051244,0
Boid71,4.713119,0
Boid72,4.521997,0
Boid73,3.429053,0
Boid74,2.43367,0
Boid75,3.755492,0
Boid76,2.698963,0
Boid77,4.564332,0
Boid78,3.775311,0
Boid79,3.194853,0
Boid80,4.564057,0
Boid81,4.268558,0
Boid82,1.443178,0
Boid83,2.868914,0
Boid84,4.557611,0
Boid85,3.103225,0
Boid86,3.564532,0
Boid87,3.441472,0
Boid88,3.771372,0
Boid89,2.037115,0
Boid90,3.056692,0
Boid91,1.358832,0
Boid92,3.249716,0
Boid93,1.517631,0
Boid94,1.635838,0
Boid95,3.51743,0
Boid96,4.037234,0
Boid97,2.132947,0
Boid98,3.015932,0
Boid99,4.184214,0
Boid100,1.799181,0
Boid101,3.910416,0
Boid102,4.543514,0
Boid103,4.383218,0
Boid104,3.154586,0
Boid105,4.110087,0
Boid106,3.001893,0
Boid107,4.941513,0
Boid108,1.121992,0
Boid109,2.675927,0
Boid110,1.969172,0
Boid111,3.254939,0
Boid112,1.84973,0
Boid113,1.130659,0
Boid114,4.016397,0
Boid115,1.909961,0
Boid116,1.166915,0
Boid117,2.383105,0
Boid118,4.141642,0
Boid119,1.339497,0
Boid120,4.60363,0
Boid121,1.92384,0
Boid122,2.692573,0
Boid123,2.338053,0
Boid124,2.360851,0
Boid125,4.151172,0
Boid126,1.902439,0
Boid127,2.191028,0
Boid128,1.279021,0
Boid129,1.57213,0
Boid130,1.203113,0
Boid131,1.126039,0
Boid132,2.51501,0
Boid133,1.885942,0
Boid134,1.124851,0
Boid135,4.663485,0
Boid136,3.691124,0
Boid137,4.362069,0
Boid138,4.28562,0
Boid139,2.53608,0
Boid140,2.015569,0
Boid141,3.535286,0
Boid142,4.458421,0
Boid143,1.893374,0
Boid144,1.983036,0
Boid145,2.810366,0
Boid146,3.248595,0
Boid147,3.3407,0
Boid148,1.768154,0
Boid149,4.845055,0
Boid150,1.327423,0
Boid151,2.014348,0
Boid152,2.62465,0
Boid153,1.057362,0
Boid154,3.87411,0
Boid155,3.931416,0
Boid156,2.981394,0
Boid157,2.134468,0
Boid158,3.875572,0
Boid159,2.415704,0
Boid160,3.937685,0
Boid161,1.314752,0
Boid162,3.346012,0
Boid163,4.081432,0
Boid164,2.683506,0
Boid165,1.683078,0
Boid166,3.114043,0
Boid167,3.601378,0
Boid168,1.298203,0
Boid169,4.44193,0
Boid170,1.329487,0
Boid171,1.57572,0
Boid172,2.648313,0
Boid173,1.549685,0
Boid174,1.750375,0
Boid175,3.436634,0
Boid176,4.166808,0
Boid177,4.245932,0
Boid178,3.839622,0
Boid179,4.235438,0
Boid180,2.278585,0
Boid181,1.900312,0
Boid182,3.13469,0
Boid183,3.276147,0
Boid184,4.910596,0
Boid185,3.529962,0
Boid186,1.61276,0
Boid187,3.882528,0
Boid188,4.253959,0
Boid189,4.115651,0
Boid190,2.820016,0
Boid191,3.748137,0
Boid192,1.682861,0
Boid193,4.274071,0
Boid194,4.0227,0
Boid195,3.965746,0
Boid196,3.519174,0
Boid197,2.251259,0
Boid198,2.099693,0
Boid199,4.894852,0
Boid200,3.796935,0
Boid201,3.122655,0
Boid202,4.765901,0
Boid203,3.339184,0
Boid204,4.999044,0
Boid205,1.199709,0
Boid206,4.687753,0
Boid207,2.86073,0
Boid208,1.503224,0
Boid209,2.609069,0
Boid210,3.297367,0
Boid211,1.286397,0
Boid212,2.004034,0
Boid213,1.404749,0
Boid214,3.832982,0
Boid215,1.86178,0
Boid216,1.281241,0
Boid217,2.504809,0
Boid218,4.519903,0
Boid219,3.078776,0
Boid220,2.060601,0
Boid221,3.559064,0
Boid222,4.090884,0
Boid223,4.630642,0
Boid224,2.248069,0
Boid225,4.080933,0
Boid226,1.419407,0
Boid227,1.295188,0
Boid228,3.042843,0
Boid229,3.85777,0
Boid230,4.533741,0
Boid231,2.532125,0
Boid232,4.52506,0
Boid233,3.6307,0
Boid234,3.181808,0
Boid235,3.689452,0
Boid236,2.440746,0
Boid237,2.11273,0
Boid238,1.405089,0
Boid239,3.021363,0
Boid240,4.921505,0
Boid241,1.072872,0
Boid242,2.060337,0
Boid243,1.075398,0
Boid244,2.339452,0
Boid245,3.122172,0
Boid246,3.935758,0
Boid247,3.768852,0
Boid248,2.291773,0
Boid249,1.64063,0
Boid0,3.060198,0.02
Boid1,2.439544,0.02
Boid2,4.044792,0.02
Boid3,4.630904,0.02
Boid4,4.605468,0.02
Boid5,4.392952,0.02
Boid6,4.0814,0.02
Boid7,2.23907,0.02
Boid8,1.376146,0.02
Boid9,1.668793,0.02
Boid10,2.133425,0.02
Boid11,2.476901,0.02
Boid12,1.413434,0.02
Boid13,4.437203,0.02
Boid14,2.454889,0.02
Boid15,1.978357,0.02
Boid16,2.825926,0.02
Boid17,1.0162,0.02
Boid18,2.572883,0.02
Boid19,2.558398,0.02
Boid20,3.819852,0.02
Boid21,2.428768,0.02
Boid22,1.890727,0.02
Boid23,1.006672,0.02
Boid24,1.137735,0.02
Boid25,2.843866,0.02
Boid26,3.585815,0.02
Boid27,2.497034,0.02
Boid28,2.899722,0.02
Boid29,4.998031,0.02
Boid30,1.860675,0.02
Boid31,4.321488,0.02
Boid32,2.417151,0.02
Boid33,4.167114,0.02
Boid34,1.007168,0.02
Boid35,4.0429,0.02
Boid36,3.720078,0.02
Boid37,2.423021,0.02
Boid38,2.005487,0.02
Boid39,2.468807,0.02
Boid40,3.797109,0.02
Boid41,3.186977,0.02
Boid42,3.409439,0.02
Boid43,3.075887,0.02
Boid44,4.687244,0.02
Boid45,1.66081,0.02
Boid46,4.760614,0.02
Boid47,4.980251,0.02
Boid48,1.503695,0.02
Boid49,2.133426,0.02
Boid50,4.855062,0.02
Boid51,4.677605,0.02
Boid52,1.764657,0.02
Boid53,2.580336,0.02
Boid54,4.063355,0.02
Boid55,3.802455,0.02
Boid56,3.783705,0.02
Boid57,3.588646,0.02
Boid58,4.36088,0.02
Boid59,3.754754,0.02
Boid60,4.843847,0.02
Boid61,2.679324,0.02
Boid62,2.755533,0.02
Boid63,3.309756,0.02
Boid64,4.306919,0.02
Boid65,2.533098,0.02
Boid66,1.468455,0.02
Boid67,4.707173,0.02
Boid68,2.386683,0.02
Boid69,1.206533,0.02
Boid70,1.644903,0.02
Boid71,2.133373,0.02
Boid72,3.388923,0.02
Boid73,1.764622,0.02
Boid74,4.772249,0.02
Boid75,3.899644,0.02
Boid76,3.878018,0.02
Boid77,1.361024,0.02
Boid78,3.840279,0.02
Boid79,3.677764,0.02
Boid80,1.342194,0.02
Boid81,4.203564,0.02
Boid82,2.866913,0.02
Boid83,1.582205,0.02
Boid84,3.120813,0.02
Boid85,1.528705,0.02
Boid86,1.954254,0.02
Boid87,4.289135,0.02
Boid88,4.114225,0.02
Boid89,2.942027,0.02
Boid90,3.659369,0.02
Boid91,3.626175,0.02
Boid92,1.677811,0.02
Boid93,4.147468,0.02
Boid94,4.982314,0.02
Boid95,1.013701,0.02
Boid96,4.148862,0.02
Boid97,3.850882,0.02
Boid98,1.864778,0.02
Boid99,3.098107,0.02
Boid100,2.635088,0.02
Boid101,3.501581,0.02
Boid102,1.197384,0.02
Boid103,4.319572,0.02
Boid104,3.340875,0.02
Boid105,2.587087,0.02
Boid106,4.040479,0.02
Boid107,3.240112,0.02
Boid108,3.321085,0.02
Boid109,2.786079,0.02
Boid110,3.017814,0.02
Boid111,1.031216,0.02
Boid112,4.10544,0.02
Boid113,4.377999,0.02
Boid114,2.022742,0.02
Boid115,2.434128,0.02
Boid116,3.193889,0.02
Boid117,4.266629,0.02
Boid118,4.835464,0.02
Boid119,1.46267,0.02
Boid120,2.770633,0.02
Boid121,2.510478,0.02
Boid122,4.828376,0.02
Boid123,1.397569,0.02
Boid124,1.6362,0.02
Boid125,1.147383,0.02
Boid126,4.208236,0.02
Boid127,1.932364,0.02
Boid128,3.276987,0.02
Boid129,4.004715,0.02
Boid130,3.213788,0.02
Boid131,1.555854,0.02
Boid132,4.098876,0.02
Boid133,2.630466,0.02
Boid134,4.58698,0.02
Boid135,3.254505,0.02
Boid136,3.196948,0.02
Boid137,1.409581,0.02
Boid138,2.47639,0.02
Boid139,4.151878,0.02
Boid140,2.877184,0.02
Boid141,3.909981,0.02
Boid142,2.664815,0.02
Boid143,4.76323,0.02
Boid144,2.515197,0.02
Boid145,3.879668,0.02
Boid146,4.379035,0.02
Boid147,4.070989,0.02
Boid148,1.969158,0.02
Boid149,4.866741,0.02
Boid150,2.081644,0.02
Boid151,2.727196,0.02
Boid152,2.409511,0.02
Boid153,1.234991,0.02
Boid154,1.133948,0.02
Boid155,2.2654,0.02
Boid156,2.475348,0.02
Boid157,1.76284,0.02
Boid158,1.735416,0.02
Boid159,3.887866,0.02
Boid160,1.648015,0.02
Boid161,2.527703,0.02
Boid162,2.267719,0.02
Boid163,2.791821,0.02
Boid164,3.946735,0.02
Boid165,2.783879,0.02
Boid166,3.518394,0.02
Boid167,1.908083,0.02
Boid168,4.561217,0.02
Boid169,4.536488,0.02
Boid170,1.163612,0.02
Boid171,3.918177,0.02
Boid172,2.584801,0.02
Boid173,2.576776,0.02
Boid174,3.068984,0.02
Boid175,4.834548,0.02
Boid176,3.937616,0.02
Boid177,3.264702,0.02
Boid178,2.649211,0.02
Boid179,3.510699,0.02
Boid180,2.656572,0.02
Boid181,2.590192,0.02
Boid182,3.346749,0.02
Boid183,3.235331,0.02
Boid184,1.505471,0.02
Boid185,4.522148,0.02
Boid186,1.35031,0.02
Boid187,1.121343,0.02
Boid188,3.458871,0.02
Boid189,4.444549,0.02
Boid190,1.852264,0.02
Boid191,4.38783,0.02
Boid192,4.483604,0.02
Boid193,1.206657,0.02
Boid194,1.080271,0.02
Boid195,3.298341,0.02
Boid196,2.287409,0.02
Boid197,1.495375,0.02
Boid198,3.652447,0.02
Boid199,1.979804,0.02
Boid200,1.008035,0.02
Boid201,1.332494,0.02
Boid202,1.038675,0.02
Boid203,2.401829,0.02
Boid204,1.797688,0.02
Boid205,2.654856,0.02
Boid206,4.473368,0.02
Boid207,2.257951,0.02
Boid208,2.022499,0.02
Boid209,3.217173,0.02
Boid210,1.59646,0.02
Boid211,2.262403,0.02
Boid212,2.619083,0.02
Boid213,3.511403,0.02
Boid214,4.651607,0.02
Boid215,2.748051,0.02
Boid216,1.85257,0.02
Boid217,4.076474,0.02
Boid218,2.786742,0.02
Boid219,2.521887,0.02
Boid220,3.554389,0.02
Boid221,1.608224,0.02
Boid222,3.155524,0.02
Boid223,1.67237,0.02
Boid224,4.108969,0.02
Boid225,2.317904,0.02
Boid226,4.179513,0.02
Boid227,4.872102,0.02
Boid228,2.336004,0.02
Boid229,1.531791,0.02
Boid230,3.645157,0.02
Boid231,4.014767,0.02
Boid232,1.934959,0.02
Boid233,3.551114,0.02
Boid234,2.315876,0.02
Boid235,2.048381,0.02
Boid236,4.698102,0.02
Boid237,2.937421,0.02
Boid238,1.990897,0.02
Boid239,4.79176,0.02
Boid240,2.546988,0.02
Boid241,2.402483,0.02
Boid242,1.172165,0.02
Boid243,3.119709,0.02
Boid244,2.62818,0.02
Boid245,4.039826,0.02
Boid246,3.555199,0.02
Boid247,2.39798,0.02
Boid248,2.392972,0.02
Boid249,3.031684,0.02
Boid0,2.412791,0.3533334
Boid1,1.493959,0.3533334
Boid2,4.56125,0.3533334
Boid3,2.613837,0.3533334
Boid4,2.672753,0.3533334
Boid5,1.579716,0.3533334
Boid6,2.645829,0.3533334
Boid7,1.639725,0.3533334
Boid8,3.186063,0.3533334
Boid9,4.90136,0.3533334
Boid10,2.563543,0.3533334
Boid11,4.927832,0.3533334
Boid12,3.700515,0.3533334
Boid13,3.513371,0.3533334
Boid14,2.835976,0.3533334
Boid15,2.962396,0.3533334
Boid16,3.58747,0.3533334
Boid17,4.679681,0.3533334
Boid18,1.994889,0.3533334
Boid19,4.62294,0.3533334
Boid20,3.20301,0.3533334
Boid21,4.49324,0.3533334
Boid22,4.098429,0.3533334
Boid23,2.209984,0.3533334
Boid24,4.782537,0.3533334
Boid25,3.907074,0.3533334
