Boid,Speed
Boid0,911.8609
Boid1,863.8318
Boid2,1703.75
Boid3,1882.233
Boid4,1660.548
Boid5,456.2717
Boid6,1417.546
Boid7,902.8458
Boid8,1374.773
Boid9,2132.005
Boid10,1834.164
Boid11,1343.466
Boid12,755.2753
Boid13,861.2264
Boid14,178.482
Boid15,1510.685
Boid16,2013.968
Boid17,2097.838
Boid18,1407.243
Boid19,1114.629
Boid20,1811.865
Boid21,795.5795
Boid22,755.9725
Boid23,1040.861
Boid24,490.9482
Boid25,361.4857
Boid26,949.7385
Boid27,1227.297
Boid28,1739.173
Boid29,759.5782
Boid30,847.0906
Boid31,1912.219
Boid32,415.8706
Boid33,300.4631
Boid34,462.2906
Boid35,1670.571
Boid36,1652.55
Boid37,1827.709
Boid38,609.5951
Boid39,203.471
Boid40,1426.581
Boid41,1391.244
Boid42,892.8665
Boid43,1527.247
Boid44,2112.58
Boid45,1329.169
Boid46,1309.194
Boid47,1317.746
Boid48,1990.926
Boid49,793.3286
Boid50,338.6424
Boid51,1173.453
Boid52,1210.798
Boid53,1109.987
Boid54,1528.877
Boid55,67.02931
Boid56,928.2414
Boid57,1149.865
Boid58,1437.557
Boid59,687.7254
Boid60,1783.662
Boid61,866.7974
Boid62,651.4048
Boid63,489.3872
Boid64,214.6623
Boid65,957.1556
Boid66,1119.117
Boid67,944.7899
Boid68,511.7234
Boid69,1497.205
Boid70,2046.12
Boid71,1376.247
Boid72,1254.404
Boid73,1562.926
Boid74,1153.362
Boid75,417.8116
Boid76,1469.354
Boid77,1367.94
Boid78,574.5667
Boid79,1805.267
Boid80,1564.751
Boid81,387.2438
Boid82,1166.183
Boid83,1241.691
Boid84,1468.505
Boid85,1593.06
Boid86,507.9638
Boid87,671.8856
Boid88,1279.611
Boid89,1642.899
Boid90,1655.09
Boid91,1480.8
Boid92,1363.715
Boid93,459.7787
Boid94,414.3213
Boid95,1889.389
Boid96,1260.244
Boid97,2178
Boid98,2014.554
Boid99,1999.261
Boid100,1446.88
Boid101,1337.97
Boid102,1287.518
Boid103,1480.56
Boid104,1152.486
Boid105,1770.439
Boid106,393.0156
Boid107,1466.004
Boid108,875.52
Boid109,535.1623
Boid110,1671.663
Boid111,1042.297
Boid112,1665.263
Boid113,948.8195
Boid114,644.5912
Boid115,332.4343
Boid116,873.3831
Boid117,1992.169
Boid118,1592.733
Boid119,837.3011
Boid120,953.0682
Boid121,1393.389
Boid122,1397.036
Boid123,1621.447
Boid124,713.0134
Boid125,547.9531
Boid126,1338.954
Boid127,460.3755
Boid128,1912.2
Boid129,876.2557
Boid130,1917.724
Boid131,190.6333
Boid132,1470.972
Boid133,1765.172
Boid134,694.2244
Boid135,941.7499
Boid136,959.7501
Boid137,1017.303
Boid138,674.3464
Boid139,1701.325
Boid140,1357.411
Boid141,418.4117
Boid142,1588.032
Boid143,1222.326
Boid144,1260.202
Boid145,221.9865
Boid146,1477.91
Boid147,967.7865
Boid148,987.8677
Boid149,166.3302
Boid150,1245.798
Boid151,1973.003
Boid152,699.7177
Boid153,1420.166
Boid154,1278.985
Boid155,336.6531
Boid156,895.3635
